Key,English,Spanish
Tutorial.Dialogue1,"Hello, I'm Diogenes, and I'm the solution to all your problems.","Hola, soy Diógenes y soy la solución a todos tus problemas."
Tutorial.Dialogue2,"But first, sell me an axe \U0001F604 with a weight of 2 \U0001F60A.",Pero primero vendeme un hacha\U0001F604 de peso 2\U0001F60A.
Tutorial.Dialogue3,Click on the tab with the axe\U0001F604 icon.,Haz click en la solapa con forma de hacha\U0001F604.
Tutorial.Dialogue4,It looks like you need a cutting item\U0001F60D and a handle\U0001F601.,Parece que necesitas un objeto cortante\U0001F60D y un mango\U0001F601.
Tutorial.Dialogue5,Click on select and follow me outside.,Dale a seleccionar y sigueme afuera.
Tutorial.Dialogue6,Let's search in the trash for the items we need.,Busquemos en el tacho los objetos necesarios.
Tutorial.Dialogue7,Press the thrash can to get items.,Presiona el basurero para obtener los items.
Tutorial.Dialogue8,¡Done! Put them on the conveyor belt and pull the lever.,¡Listo! Ponelos en la cinta transportadora y tirá de la palanca.
Tutorial.Dialogue9,The items are waiting for us in the workshop,Ahora los objetos nos esperan en el taller.
Tutorial.Dialogue10,Drag the items to the blueprint.,Arrastrá los objetos al plano.
Tutorial.Dialogue11,"Here, use my hammer to finish that weapon.",Usa mi martillo para terminar el arma.
Tutorial.Dialogue12,All right! Deliver the weapon to the client (that client is me).,"¡Listo! Entregá el arma al cliente, o sea, a mí."
Tutorial.Dialogue13,"Now get ready, because there are more customers eager for their weapons.","Ahora prepárate, porque hay más clientes ansiosos por sus armas."
Tutorial.Dialogue14,"Remember to keep an eye on the weapon’s total weight, or you’ll receive a smaller tip!",Y recordá estar atento al peso total del arma ¡o recibirás menos propina!
Tutorial.Dialogue15,"Oh, one more thing. If the junk starts piling up, just use the pocket vortex I left in the garden.","Ah, una cosa más, si tienes problemas con la cantidad de basura puedes usar el vortice de bolsillo que dejé en el jardin"
